codigo_municipio_ibge,municipio,uf,nota_media_enem,numero_participantes
1200013,Acrelândia,AC,474.41,337
1200104,Brasiléia,AC,484.33,483
1200203,Cruzeiro do Sul,AC,497.07,2875
1200302,Feijó,AC,465.7,405
1200328,Jordão,AC,450.0,82
1200351,Marechal Thaumaturgo,AC,463.95,198
1200336,Mâncio Lima,AC,474.2,447
1200385,Plácido de Castro,AC,481.56,226
1200807,Porto Acre,AC,472.67,214
1200393,Porto Walter,AC,458.2,124
1200401,Rio Branco,AC,515.08,11616
1200435,Santa Rosa do Purus,AC,451.81,35
1200500,Sena Madureira,AC,489.22,707
1200450,Senador Guiomard,AC,485.89,538
1200609,Tarauacá,AC,473.55,617
1200708,Xapuri,AC,495.87,171
2700300,Arapiraca,AL,521.35,9554
2700409,Atalaia,AL,464.05,788
2700706,Batalha,AL,463.44,1041
2701001,Boca da Mata,AL,480.23,1030
2701407,Campo Alegre,AL,495.6,796
2702306,Coruripe,AL,488.02,1220
2702405,Delmiro Gouveia,AL,484.45,1692
2702900,Girau do Ponciano,AL,485.27,1496
2703106,Igaci,AL,480.69,804
2704302,Maceió,AL,529.27,26200
2704708,Marechal Deodoro,AL,504.61,1218
2705002,Mata Grande,AL,448.57,996
2705705,Olho d'Água das Flores,AL,472.79,1066
2706307,Palmeira dos Índios,AL,488.03,2823
2706703,Penedo,AL,483.54,1942
2706901,Pilar,AL,486.77,1108
2707305,Porto Calvo,AL,458.88,1431
2707701,Rio Largo,AL,492.34,2457
2708006,Santana do Ipanema,AL,473.68,2022
2708402,São José da Tapera,AL,465.61,1220
2708501,São Luís do Quitunde,AL,469.16,1415
2708600,São Miguel dos Campos,AL,504.09,1377
2709152,Teotônio Vilela,AL,507.48,1430
2709202,Traipu,AL,458.3,531
2709301,União dos Palmares,AL,468.18,3155
2709400,Viçosa,AL,479.06,1593
2700102,Água Branca,AL,467.71,802
1300029,Alvarães,AM,436.59,143
1300060,Amaturá,AM,406.91,179
1300086,Anamã,AM,445.49,163
1300102,Anori,AM,458.1,148
1300144,Apuí,AM,461.19,177
1300300,Autazes,AM,444.28,361
1300409,Barcelos,AM,474.46,153
1300508,Barreirinha,AM,443.01,540
1300607,Benjamin Constant,AM,420.67,980
1300631,Beruri,AM,418.09,147
1300680,Boa Vista do Ramos,AM,442.96,301
1300706,Boca do Acre,AM,482.89,440
1300805,Borba,AM,435.37,272
1300839,Caapiranga,AM,410.69,171
1300904,Canutama,AM,440.85,81
1301001,Carauari,AM,460.81,255
1301100,Careiro,AM,455.4,290
1301159,Careiro da Várzea,AM,464.65,213
1301209,Coari,AM,458.69,1186
1301308,Codajás,AM,462.25,316
1301407,Eirunepé,AM,466.8,312
1301506,Envira,AM,445.93,177
1301605,Fonte Boa,AM,440.88,288
1301704,Humaitá,AM,465.16,985
1301803,Ipixuna,AM,445.85,123
1301852,Iranduba,AM,447.59,702
1301902,Itacoatiara,AM,469.86,1919
1301951,Itamarati,AM,419.01,131
1302009,Itapiranga,AM,449.89,143
1302108,Japurá,AM,393.65,102
1302207,Juruá,AM,430.75,150
1302306,Jutaí,AM,419.29,192
1302405,Lábrea,AM,445.61,435
1302504,Manacapuru,AM,461.26,1774
1302553,Manaquiri,AM,438.09,165
1302603,Manaus,AM,503.24,41021
1302702,Manicoré,AM,448.85,397
1302801,Maraã,AM,409.1,129
1302900,Maués,AM,451.61,704
1303007,Nhamundá,AM,455.83,748
1303106,Nova Olinda do Norte,AM,450.47,429
1303205,Novo Airão,AM,460.86,139
1303304,Novo Aripuanã,AM,421.32,300
1303403,Parintins,AM,466.59,2748
1303502,Pauini,AM,435.68,138
1303536,Presidente Figueiredo,AM,479.77,426
1303569,Rio Preto da Eva,AM,459.49,391
1303601,Santa Isabel do Rio Negro,AM,423.29,127
1303700,Santo Antônio do Içá,AM,425.61,256
1304005,Silves,AM,421.11,204
1303809,São Gabriel da Cachoeira,AM,471.31,612
1303908,São Paulo de Olivença,AM,441.59,380
1303957,São Sebastião do Uatumã,AM,432.92,136
1304062,Tabatinga,AM,438.57,990
1304104,Tapauá,AM,475.58,154
1304203,Tefé,AM,462.01,959
1304237,Tonantins,AM,390.97,290
1304260,Uarini,AM,406.84,125
1304302,Urucará,AM,452.03,242
1304401,Urucurituba,AM,437.61,255
1600105,Amapá,AP,451.69,166
1600204,Calçoene,AP,450.18,151
1600279,Laranjal do Jari,AP,478.05,1011
1600303,Macapá,AP,504.83,15644
1600402,Mazagão,AP,461.46,422
1600501,Oiapoque,AP,455.71,644
1600154,Pedra Branca do Amapari,AP,466.87,258
1600535,Porto Grande,AP,476.57,492
1600600,Santana,AP,498.29,3745
1600709,Tartarugalzinho,AP,453.45,214
1600808,Vitória do Jari,AP,452.28,295
2900702,Alagoinhas,BA,507.78,4011
2901007,Amargosa,BA,501.68,1456
2901106,Amélia Rodrigues,BA,484.09,531
2901205,Anagé,BA,487.14,679
2901304,Andaraí,BA,474.43,358
2901353,Andorinha,BA,493.33,385
2902104,Araci,BA,473.07,896
2902609,Baixa Grande,BA,478.19,991
2902708,Barra,BA,460.71,985
2902807,Barra da Estiva,BA,505.82,997
2902906,Barra do Choça,BA,482.62,725
2903201,Barreiras,BA,516.39,6134
2903409,Belmonte,BA,458.29,141
2903904,Bom Jesus da Lapa,BA,492.98,1754
2904100,Boquira,BA,479.98,417
2904308,Brejões,BA,467.31,350
2904506,Brotas de Macaúbas,BA,499.2,401
2904605,Brumado,BA,530.44,1826
2904704,Buerarema,BA,487.92,344
2904753,Buritirama,BA,440.01,415
2904902,Cachoeira,BA,472.06,1248
2905008,Caculé,BA,514.32,1718
2905206,Caetité,BA,524.2,2135
2905404,Cairu,BA,461.91,171
