codigo_municipio_ibge,municipio,idhm
1100015,ALTA FLORESTA D'OESTE,0.641
1100023,ARIQUEMES,0.702
1100031,CABIXI,0.65
1100049,CACOAL,0.718
1100056,CEREJEIRAS,0.692
1100064,COLORADO DO OESTE,0.685
1100072,CORUMBIARA,0.613
1100080,COSTA MARQUES,0.611
1100098,ESPIGÃO D'OESTE,0.672
1100106,GUAJARÁ-MIRIM,0.657
1100114,JARU,0.689
1100122,JI-PARANÁ,0.714
1100130,MACHADINHO D'OESTE,0.596
1100148,NOVA BRASILÂNDIA D'OESTE,0.643
1100155,OURO PRETO DO OESTE,0.682
1100189,PIMENTA BUENO,0.71
1100205,PORTO VELHO,0.736
1100254,PRESIDENTE MÉDICI,0.664
1100262,RIO CRESPO,0.643
1100288,ROLIM DE MOURA,0.7
1100296,SANTA LUZIA D'OESTE,0.67
1100304,VILHENA,0.731
1100320,SÃO MIGUEL DO GUAPORÉ,0.646
1100338,NOVA MAMORÉ,0.587
1100346,ALVORADA D'OESTE,0.643
1100379,ALTO ALEGRE DOS PARECIS,0.592
1100403,ALTO PARAÍSO,0.625
1100452,BURITIS,0.616
1100502,NOVO HORIZONTE DO OESTE,0.634
1100601,CACAULÂNDIA,0.646
1100700,CAMPO NOVO DE RONDÔNIA,0.593
1100809,CANDEIAS DO JAMARI,0.649
1100908,CASTANHEIRAS,0.658
1100924,CHUPINGUAIA,0.652
1100940,CUJUBIM,0.612
1101005,GOVERNADOR JORGE TEIXEIRA,0.596
1101104,ITAPUÃ DO OESTE,0.614
1101203,MINISTRO ANDREAZZA,0.638
1101302,MIRANTE DA SERRA,0.643
1101401,MONTE NEGRO,0.607
1101435,NOVA UNIÃO,0.587
1101450,PARECIS,0.617
1101468,PIMENTEIRAS DO OESTE,0.665
1101476,PRIMAVERA DE RONDÔNIA,0.641
1101484,SÃO FELIPE D'OESTE,0.649
1101492,SÃO FRANCISCO DO GUAPORÉ,0.611
1101500,SERINGUEIRAS,0.598
1101559,TEIXEIRÓPOLIS,0.643
1101609,THEOBROMA,0.589
1101708,URUPÁ,0.609
1101757,VALE DO ANARI,0.584
